reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,sampling_method,method_number,haul_number_pass_number,species,length_mm,weight_g,sex,maturity,age_structure,age_sample_number,age,genetic_structure,genetic_sample_number,comments
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,103,12,,,,,,,,NA. Pit Tag ID: 3DD.003E192ACE. Row ID: 377.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,89,8,,,,,,,,NA. Pit Tag ID: 3DD.003E192AE4. Row ID: 378.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,visual observation above water,,1,Fish Unidentified Species,90,,,,,,,,,fork length estimated
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,visual observation above water,,1,Fish Unidentified Species,150,,,,,,,,,fork length estimated
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,102,10,,,,,,,,NA. Pit Tag ID: 3DD.003E192AEA. Row ID: 379.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,75,4.8,,,,,,,,NA. Pit Tag ID: 3DD.003E192ACD. Row ID: 380.
8,Tributary to Missinka River,125179_ds_ef1,00000PARS,0,8,electrofishing,,1,Rainbow Trout,44,0.5,,,,,,,,
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,134,28.2,,,,,,,,NA. Pit Tag ID: 3DD.003E192AFE. Row ID: 381.
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,84,6.7,,,,,,,,NA. Pit Tag ID: 3DD.003E192AE6. Row ID: 382.
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,94,9.3,,,,,,,,NA. Pit Tag ID: 3DD.003E192AD3. Row ID: 383.
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,92,7.9,,,,,,,,NA. Pit Tag ID: 3DD.003E192AD8. Row ID: 384.
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,88,7.2,,,,,,,,NA. Pit Tag ID: 3DD.003E192AE0. Row ID: 385.
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,86,8.5,,,,,,,,NA. Pit Tag ID: 3DD.003E192ACA. Row ID: 386.
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,visual observation above water,,1,Fish Unidentified Species,90,,,,,,,,,fork length estimated
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,128,27.2,,,,,,,,NA. Pit Tag ID: 3DD.003E192ACB. Row ID: 387.
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,102,11.1,,,,,,,,NA. Pit Tag ID: 3DD.003E192B07. Row ID: 388.
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,39,0.8,,,,,,,,
9,Tributary to Missinka River,125179_us_ef1,00000PARS,0,9,electrofishing,,1,Rainbow Trout,40,0.8,,,,,,,,
